Date,AAPL,BA,CVX,JNJ,MCD,MMM,MRK,NIKE,PFE
13.11.1980,0.095495,2.368245,2.793135,0.690421,0.529305,2.057761,0.612110,0.129549,0.273859
14.11.1980,0.095495,2.323839,2.796684,0.690421,0.524807,2.062185,0.620882,0.129549,0.273859
17.11.1980,0.095495,2.338641,2.881863,0.723550,0.526306,2.078310,0.619907,0.129549,0.270976
18.11.1980,0.095495,2.368245,2.952844,0.749971,0.532304,2.109665,0.629654,0.129549,0.273859
19.11.1980,0.095495,2.360843,2.910256,0.761150,0.542800,2.149976,0.626730,0.129549,0.270976
20.11.1980,0.095495,2.383047,2.942198,0.760134,0.560793,2.167894,0.623806,0.129549,0.279624
21.11.1980,0.095495,2.301638,2.967041,0.739809,0.563793,2.132060,0.629654,0.129549,0.279624
24.11.1980,0.095495,2.301638,2.963492,0.726599,0.563793,2.078310,0.623806,0.129549,0.279624
25.11.1980,0.095495,2.294236,2.967041,0.739809,0.562293,2.127582,0.617958,0.129549,0.285390
26.11.1980,0.095495,2.279436,3.279362,0.734728,0.553297,2.158935,0.619907,0.129549,0.285390
28.11.1980,0.095495,2.264634,3.265167,0.737777,0.550297,2.172372,0.619907,0.129549,0.287481
01.12.1980,0.095495,2.227630,3.059318,0.729647,0.533803,2.114145,0.603337,0.129549,0.272961
02.12.1980,0.095495,2.264634,3.109005,0.726599,0.538302,2.132060,0.611398,0.129549,0.270057
03.12.1980,0.095495,2.279436,3.101906,0.733711,0.541301,2.114145,0.608449,0.129549,0.278769
04.12.1980,0.095495,2.338641,3.038023,0.740826,0.548798,2.114145,0.605500,0.133868,0.284577
05.12.1980,0.095495,2.264634,2.917354,0.743874,0.556296,2.105186,0.603534,0.126670,0.281673
08.12.1980,0.095495,2.249833,2.881863,0.723550,0.544299,2.033519,0.589773,0.119473,0.267879
09.12.1980,0.095495,2.242432,2.878312,0.723550,0.544299,2.024561,0.591739,0.116594,0.259168
10.12.1980,0.095495,2.198025,2.754095,0.713388,0.541301,2.011124,0.584858,0.109397,0.256264
11.12.1980,0.095495,2.183226,2.754095,0.698144,0.545799,1.997687,0.583875,0.103639,0.259168
12.12.1980,0.095495,2.190626,2.789586,0.732696,0.550297,2.020081,0.587807,0.107957,0.264976
15.12.1980,0.095495,2.205429,2.793135,0.741842,0.548798,1.988728,0.595670,0.112276,0.264976
16.12.1980,0.088485,2.198025,2.910256,0.771312,0.545799,1.988728,0.592722,0.109397,0.264976
17.12.1980,0.090676,2.272034,3.023827,0.776393,0.539801,1.984249,0.579943,0.105079,0.270057
18.12.1980,0.093304,2.279436,2.981234,0.773345,0.535303,2.006645,0.593704,0.107957,0.272961
19.12.1980,0.098999,2.375646,2.967041,0.778426,0.536802,2.006645,0.605500,0.112276,0.278769
22.12.1980,0.103817,2.397846,2.988335,0.790621,0.554795,2.037999,0.629091,0.112276,0.298370
23.12.1980,0.108198,2.434851,2.935099,0.786555,0.551797,2.024561,0.625159,0.115155,0.298370
24.12.1980,0.113892,2.412648,2.846372,0.795702,0.559295,2.064874,0.619261,0.119473,0.295466
26.12.1980,0.124405,2.501459,2.867666,0.812977,0.556296,2.069353,0.623193,0.120913,0.298370
29.12.1980,0.126158,2.560664,2.849921,0.806880,0.550297,2.096226,0.631057,0.119473,0.301274
30.12.1980,0.123091,2.582867,2.828627,0.811961,0.565292,2.078310,0.656614,0.122352,0.306356
31.12.1980,0.119587,2.612468,2.825078,0.810945,0.584785,2.114145,0.666443,0.120913,0.309260
02.01.1981,0.120901,2.560664,2.817980,0.811961,0.596780,2.123103,0.676272,0.123791,0.309260
05.01.1981,0.118273,2.597666,2.864118,0.821108,0.596780,2.181330,0.674307,0.128830,0.306356
06.01.1981,0.113016,2.597666,2.803784,0.827204,0.623771,2.261955,0.674307,0.129549,0.312163
07.01.1981,0.108198,2.449653,2.739899,0.807896,0.623771,2.244038,0.663494,0.122352,0.309260
08.01.1981,0.106008,2.360843,2.654721,0.791637,0.650760,2.212685,0.665460,0.119473,0.304178
09.01.1981,0.111702,2.412648,2.683114,0.788588,0.650760,2.208206,0.666443,0.118033,0.306356
12.01.1981,0.110826,2.449653,2.711506,0.796718,0.658257,2.217163,0.674307,0.119473,0.304178
13.01.1981,0.106884,2.442252,2.711506,0.785539,0.653759,2.221642,0.668409,0.122352,0.301274
14.01.1981,0.107322,2.412648,2.782488,0.780458,0.643263,2.226123,0.663494,0.126670,0.298370
15.01.1981,0.109512,2.501459,2.860568,0.785539,0.632767,2.221642,0.667426,0.126670,0.295466
